timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-06-08 14:35:00,6.67,6.7,6.69,6.67,283.39,0.02,0.3,6.666,6.672,6.6815,257.28,373.3,318.63,0.01
2018-06-08 14:40:00,6.69,6.69,6.67,6.67,168.0,-0.02,-0.3,6.668,6.67,6.681,227.48,359.1,305.45,0.01
2018-06-08 14:45:00,6.67,6.68,6.68,6.67,368.0,0.01,0.15,6.674,6.669,6.6805,233.28,392.7,315.75,0.01
2018-06-08 14:50:00,6.68,6.68,6.67,6.65,1781.0,-0.01,-0.15,6.676,6.668,6.6795,537.88,552.3,394.5,0.06
2018-06-08 14:55:00,6.68,6.74,6.72,6.67,1025.2,0.04,0.6,6.686,6.672,6.681,725.12,627.16,424.76,0.03
2018-06-08 15:00:00,6.72,6.74,6.72,6.72,214.0,0.0,0.0,6.692,6.679,6.682,711.24,484.26,431.01,0.01
2018-06-11 09:35:00,6.68,6.69,6.64,6.64,760.0,-0.04,-0.6,6.686,6.677,6.68,829.64,528.56,454.71,0.03
2018-06-11 09:40:00,6.64,6.64,6.62,6.55,1597.0,-0.02,-0.3,6.674,6.674,6.6765,1075.44,654.36,525.06,0.05
2018-06-11 09:45:00,6.62,6.62,6.58,6.58,704.27,-0.04,-0.6,6.656,6.666,6.671,860.09,698.99,546.82,0.02
2018-06-11 09:50:00,6.58,6.6,6.6,6.58,428.0,0.02,0.3,6.632,6.659,6.666,740.65,732.89,542.22,0.01
2018-06-11 09:55:00,6.6,6.62,6.62,6.6,198.0,0.02,0.3,6.612,6.652,6.662,737.45,724.35,548.82,0.01
2018-06-11 10:00:00,6.62,6.63,6.63,6.6,868.0,0.01,0.15,6.61,6.648,6.659,759.05,794.35,576.72,0.03
2018-06-11 10:05:00,6.63,6.66,6.65,6.63,258.0,0.02,0.3,6.616,6.645,6.657,491.25,783.35,588.02,0.01
2018-06-11 10:10:00,6.65,6.66,6.64,6.64,127.0,-0.01,-0.15,6.628,6.642,6.655,375.8,617.95,585.12,0.0
2018-06-11 10:15:00,6.64,6.65,6.65,6.64,67.0,0.01,0.15,6.638,6.635,6.6535,303.6,522.13,574.64,0.0
2018-06-11 10:20:00,6.65,6.65,6.65,6.64,385.0,0.0,0.0,6.644,6.628,6.6535,341.0,539.23,511.74,0.01
2018-06-11 10:25:00,6.65,6.65,6.63,6.62,314.0,-0.02,-0.3,6.644,6.627,6.652,230.2,494.63,511.59,0.01
2018-06-11 10:30:00,6.63,6.63,6.61,6.61,271.0,-0.02,-0.3,6.636,6.626,6.65,232.8,362.03,508.19,0.01
2018-06-11 10:35:00,6.61,6.63,6.6,6.6,472.0,-0.01,-0.15,6.628,6.628,6.647,301.8,338.8,518.89,0.02
